#Mouth boundary - rescaled Littlehampton tidal levels
#Imposed tidal water level
#
T          SL(1)
s          m 
    15780.00  -1.733462
    15840.00  -1.721209
    15900.00  -1.709000
    15960.00  -1.696865
    16020.00  -1.684813
    16080.00  -1.672850
    16140.00  -1.660980
    16200.00  -1.649209
    16260.00  -1.637541
    16320.00  -1.625981
    16380.00  -1.614534
    16440.00  -1.603206
    16500.00  -1.592000
    16560.00  -1.580917
    16620.00  -1.569931
    16680.00  -1.559014
    16740.00  -1.548136
    16800.00  -1.537266
    16860.00  -1.526374
    16920.00  -1.515432
    16980.00  -1.504409
    17040.00  -1.493275
    17100.00  -1.482000
    17160.00  -1.470563
    17220.00  -1.458974
    17280.00  -1.447251
    17340.00  -1.435414
    17400.00  -1.423479
    17460.00  -1.411466
    17520.00  -1.399393
    17580.00  -1.387279
    17640.00  -1.375142
    17700.00  -1.363000
    17760.00  -1.350865
    17820.00  -1.338725
    17880.00  -1.326558
    17940.00  -1.314346
    18000.00  -1.302068
    18060.00  -1.289705
    18120.00  -1.277236
    18180.00  -1.264643
    18240.00  -1.251904
    18300.00  -1.239000
    18360.00  -1.225919
    18420.00  -1.212678
    18480.00  -1.199303
    18540.00  -1.185818
    18600.00  -1.172247
    18660.00  -1.158618
    18720.00  -1.144953
    18780.00  -1.131278
    18840.00  -1.117619
    18900.00  -1.104000
    18960.00  -1.090432
    19020.00  -1.076874
    19080.00  -1.063268
    19140.00  -1.049560
    19200.00  -1.035692
    19260.00  -1.021608
    19320.00  -1.007254
    19380.00  -0.992571
    19440.00  -0.977506
    19500.00  -0.962000
    19560.00  -0.946013
    19620.00  -0.929562
    19680.00  -0.912678
    19740.00  -0.895392
    19800.00  -0.877736
    19860.00  -0.859741
    19920.00  -0.841438
    19980.00  -0.822860
    20040.00  -0.804037
    20100.00  -0.785000
    20160.00  -0.765776
    20220.00  -0.746366
    20280.00  -0.726768
    20340.00  -0.706977
    20400.00  -0.686990
    20460.00  -0.666805
    20520.00  -0.646416
    20580.00  -0.625821
    20640.00  -0.605017
    20700.00  -0.584000
    20760.00  -0.562771
    20820.00  -0.541350
    20880.00  -0.519761
    20940.00  -0.498029
    21000.00  -0.476178
    21060.00  -0.454233
    21120.00  -0.432218
    21180.00  -0.410158
    21240.00  -0.388077
    21300.00  -0.366000
    21360.00  -0.343946
    21420.00  -0.321916
    21480.00  -0.299904
    21540.00  -0.277908
    21600.00  -0.255923
    21660.00  -0.233943
    21720.00  -0.211966
    21780.00  -0.189986
    21840.00  -0.167998
    21900.00  -0.146000
    21960.00  -0.123984
    22020.00  -0.101940
    22080.00  -0.079855
    22140.00  -0.057714
    22200.00  -0.035506
    22260.00  -0.013218
    22320.00   0.009164
    22380.00   0.031652
    22440.00   0.054260
    22500.00   0.077000
    22560.00   0.099881
    22620.00   0.122893
    22680.00   0.146022
    22740.00   0.169253
    22800.00   0.192573
    22860.00   0.215967
    22920.00   0.239421
    22980.00   0.262920
    23040.00   0.286452
    23100.00   0.310000
    23160.00   0.333549
    23220.00   0.357073
    23280.00   0.380544
    23340.00   0.403934
    23400.00   0.427215
    23460.00   0.450359
    23520.00   0.473337
    23580.00   0.496122
    23640.00   0.518686
    23700.00   0.541000
    23760.00   0.563050
    23820.00   0.584870
    23880.00   0.606510
    23940.00   0.628018
    24000.00   0.649442
    24060.00   0.670830
    24120.00   0.692232
    24180.00   0.713695
    24240.00   0.735269
    24300.00   0.757000
    24360.00   0.778925
    24420.00   0.801022
    24480.00   0.823259
    24540.00   0.845602
    24600.00   0.868018
    24660.00   0.890471
    24720.00   0.912930
    24780.00   0.935360
    24840.00   0.957728
    24900.00   0.980000
    24960.00   1.002148
    25020.00   1.024169
    25080.00   1.046065
    25140.00   1.067837
    25200.00   1.089488
    25260.00   1.111020
    25320.00   1.132435
    25380.00   1.153736
    25440.00   1.174923
    25500.00   1.196000
    25560.00   1.216968
    25620.00   1.237829
    25680.00   1.258584
    25740.00   1.279234
    25800.00   1.299780
    25860.00   1.320224
    25920.00   1.340567
    25980.00   1.360809
    26040.00   1.380953
    26100.00   1.401000
    26160.00   1.420953
    26220.00   1.440827
    26280.00   1.460638
    26340.00   1.480404
    26400.00   1.500142
    26460.00   1.519868
    26520.00   1.539600
    26580.00   1.559355
    26640.00   1.579149
    26700.00   1.599000
    26760.00   1.618919
    26820.00   1.638897
    26880.00   1.658917
    26940.00   1.678966
    27000.00   1.699028
    27060.00   1.719087
    27120.00   1.739129
    27180.00   1.759139
    27240.00   1.779101
    27300.00   1.799000
    27360.00   1.818824
    27420.00   1.838571
    27480.00   1.858244
    27540.00   1.877844
    27600.00   1.897372
    27660.00   1.916831
    27720.00   1.936221
    27780.00   1.955545
    27840.00   1.974804
    27900.00   1.994000
    27960.00   2.013125
    28020.00   2.032130
    28080.00   2.050960
    28140.00   2.069555
    28200.00   2.087859
    28260.00   2.105815
    28320.00   2.123364
    28380.00   2.140449
    28440.00   2.157014
    28500.00   2.173000
    28560.00   2.188374
    28620.00   2.203195
    28680.00   2.217550
    28740.00   2.231520
    28800.00   2.245191
    28860.00   2.258647
    28920.00   2.271972
    28980.00   2.285249
    29040.00   2.298564
    29100.00   2.312000
    29160.00   2.325614
    29220.00   2.339352
    29280.00   2.353133
    29340.00   2.366877
    29400.00   2.380501
    29460.00   2.393925
    29520.00   2.407068
    29580.00   2.419849
    29640.00   2.432187
    29700.00   2.444000
    29760.00   2.455229
    29820.00   2.465901
    29880.00   2.476064
    29940.00   2.485766
    30000.00   2.495055
    30060.00   2.503980
    30120.00   2.512589
    30180.00   2.520929
    30240.00   2.529050
    30300.00   2.537000
    30360.00   2.544814
    30420.00   2.552476
    30480.00   2.559960
    30540.00   2.567236
    30600.00   2.574279
    30660.00   2.581059
    30720.00   2.587549
    30780.00   2.593721
    30840.00   2.599547
    30900.00   2.605000
    30960.00   2.610061
    31020.00   2.614747
    31080.00   2.619086
    31140.00   2.623105
    31200.00   2.626830
    31260.00   2.630289
    31320.00   2.633508
    31380.00   2.636515
    31440.00   2.639337
    31500.00   2.642000
    31560.00   2.644527
    31620.00   2.646920
    31680.00   2.649177
    31740.00   2.651297
    31800.00   2.653276
    31860.00   2.655114
    31920.00   2.656807
    31980.00   2.658354
    32040.00   2.659752
    32100.00   2.661000
    32160.00   2.662096
    32220.00   2.663046
    32280.00   2.663853
    32340.00   2.664524
    32400.00   2.665065
    32460.00   2.665480
    32520.00   2.665776
    32580.00   2.665958
    32640.00   2.666030
    32700.00   2.666000
    32760.00   2.665872
    32820.00   2.665650
    32880.00   2.665339
    32940.00   2.664942
    33000.00   2.664464
    33060.00   2.663909
    33120.00   2.663281
    33180.00   2.662584
    33240.00   2.661822
    33300.00   2.661000
    33360.00   2.660122
    33420.00   2.659195
    33480.00   2.658227
    33540.00   2.657228
    33600.00   2.656203
    33660.00   2.655163
    33720.00   2.654114
